number,priority,state,short_description,assignment_group,assigned_to,opened_at
SCTASK0012345,4 - Low,Closed Complete,Null,Team1,Kim,3/17/2025 6:00
SCTASK0012346,4 - Low,Closed Complete,Null,Team2,Kim,3/17/2025 8:25
SCTASK0012347,4 - Low,Closed Complete,Null,Team3,Alex,3/17/2025 12:46
SCTASK0012348,4 - Low,Closed Complete,Null,Team4,John,3/17/2025 16:00
SCTASK0012349,4 - Low,Closed Complete,Null,Team5,Kim,3/18/2025 5:50
SCTASK0012350,4 - Low,Closed Complete,Null,Team6,Kim,3/18/2025 5:59
SCTASK0012351,4 - Low,Closed Complete,Null,Team7,Alex,3/18/2025 6:00
SCTASK0012352,4 - Low,Closed Complete,Null,Team8,John,3/18/2025 13:50
SCTASK0012353,4 - Low,Closed Skipped,Null,Team9,Kim,3/18/2025 14:17
SCTASK0012354,4 - Low,Closed Complete,Null,Team10,Kim,3/18/2025 14:32
SCTASK0012355,4 - Low,Closed Complete,Null,Team11,Alex,3/18/2025 14:54
SCTASK0012356,4 - Low,Closed Complete,Null,Team12,John,3/18/2025 16:00
SCTASK0012357,4 - Low,Closed Complete,Null,Team13,Kim,3/19/2025 6:00
SCTASK0012358,4 - Low,Closed Complete,Null,Team14,Kim,3/19/2025 9:16
SCTASK0012359,4 - Low,Closed Complete,Null,Team15,Alex,3/19/2025 9:43
SCTASK0012360,4 - Low,Closed Complete,Null,Team16,John,3/19/2025 9:43
SCTASK0012361,4 - Low,Closed Complete,Null,Team17,Kim,3/19/2025 9:43
SCTASK0012362,4 - Low,Closed Complete,Null,Team18,Kim,3/19/2025 13:13
SCTASK0012363,4 - Low,Closed Complete,Null,Team19,Alex,3/19/2025 16:00
SCTASK0012364,4 - Low,Closed Complete,Null,Team20,John,3/20/2025 6:00
SCTASK0012365,4 - Low,Closed Complete,Null,Team21,Kim,3/20/2025 8:51
SCTASK0012366,4 - Low,Closed Complete,Null,Team22,Kim,3/20/2025 12:14
SCTASK0012367,4 - Low,Closed Complete,Null,Team23,Alex,3/20/2025 13:15
SCTASK0012368,4 - Low,Closed Complete,Null,Team24,John,3/20/2025 13:23
SCTASK0012369,4 - Low,Closed Complete,Null,Team25,Kim,3/20/2025 13:37
SCTASK0012370,4 - Low,Closed Complete,Null,Team26,Kim,3/20/2025 13:37
SCTASK0012371,4 - Low,Closed Complete,Null,Team27,Alex,3/20/2025 15:20
SCTASK0012372,4 - Low,Closed Complete,Null,Team28,John,3/20/2025 15:20
SCTASK0012373,4 - Low,Closed Complete,Null,Team29,Kim,3/20/2025 15:20
SCTASK0012374,4 - Low,Closed Complete,Null,Team30,Kim,3/20/2025 16:00
SCTASK0012375,4 - Low,Closed Complete,Null,Team31,Alex,3/21/2025 6:00
SCTASK0012376,4 - Low,Closed Complete,Null,Team32,John,3/21/2025 10:09
SCTASK0012377,4 - Low,Closed Complete,Null,Team33,Kim,3/21/2025 10:09
SCTASK0012378,4 - Low,Closed Complete,Null,Team34,Kim,3/21/2025 16:00
